X,Y,Z,wX,wY,wZ,L,R
 -5.036074,   4.856621,   3.448691,   0.510312,   0.637646,   0.577052,   6.000000,   0.500000 
  7.737065, -12.465647, -12.421222,  -0.441838,  -0.896732,   0.025531,   6.000000,   0.500000 
 -9.023751,   9.575946,  -5.052147,  -0.525514,   0.841693,   0.124047,   6.000000,   0.500000 
 -2.854173,  12.488520,  -9.640533,  -0.332319,   0.819071,   0.467639,   6.000000,   0.500000 
  1.223525,  -5.587643,   5.057249,  -0.049883,  -0.266672,   0.962496,   6.000000,   0.500000 
  3.312167,  -0.110876,   2.795744,  -0.040050,   0.876967,   0.478879,   6.000000,   0.500000 
 -8.578031,   7.185454,  -2.330904,   0.192297,   0.513732,   0.836122,   6.000000,   0.500000 
 -5.957989,  11.243244,   9.690494,  -0.009588,  -0.328416,  -0.944485,   6.000000,   0.500000 
-13.139955,  -1.441879,   1.219998,   0.328166,   0.775231,   0.539744,   6.000000,   0.500000 
 12.286340,  14.773152,  12.845498,  -0.072231,   0.125409,  -0.989472,   6.000000,   0.500000 
 -9.907706,  10.189311,  10.295658,  -0.469071,   0.001412,  -0.883159,   6.000000,   0.500000 
 -3.180353, -14.081628,   4.801956,   0.399733,   0.754468,  -0.520568,   6.000000,   0.500000 
  6.135124, -10.631420,  -5.817970,   0.219761,   0.960921,   0.168335,   6.000000,   0.500000 
 -4.139692, -14.711197,   0.022231,  -0.518087,   0.655545,   0.549406,   6.000000,   0.500000 
-11.570358,   2.406155,  10.043066,   0.502122,   0.448690,   0.739291,   6.000000,   0.500000 
  7.252362, -11.986638,   8.515450,  -0.037499,  -0.247756,  -0.968096,   6.000000,   0.500000 
 14.868680,  -5.512021,  -2.791671,  -0.162118,  -0.910058,  -0.381460,   6.000000,   0.500000 
  7.685916,   5.172015,  11.839592,  -0.150489,   0.829520,  -0.537820,   6.000000,   0.500000 
 12.339487,   6.982448,   3.559196,   0.035533,   0.139412,  -0.989597,   6.000000,   0.500000 
 -7.912986, -12.419674,  14.782115,  -0.345598,   0.209643,   0.914665,   6.000000,   0.500000 
 10.706985,  -9.997792,   3.196240,   0.733018,  -0.202368,  -0.649409,   6.000000,   0.500000 
 -9.674484, -11.014648,   0.876127,   0.321442,  -0.659857,  -0.679164,   6.000000,   0.500000 
  8.851425,  -9.429154,  13.503523,   0.665701,   0.623824,   0.409495,   6.000000,   0.500000 
 14.649310,   9.800966,   6.357457,   0.333267,  -0.102302,   0.937266,   6.000000,   0.500000 
-13.235650,  -2.094076,  -2.897692,   0.207240,  -0.973913,   0.092435,   6.000000,   0.500000 
  7.552430,  13.845676,  -5.834122,  -0.179558,  -0.928936,  -0.323786,   6.000000,   0.500000 
 -3.916374,   4.336675,  -9.064170,  -0.092678,   0.849420,   0.519515,   6.000000,   0.500000 
  4.625618,  10.654462,  -7.420207,  -0.115070,  -0.975145,  -0.189345,   6.000000,   0.500000 
 10.975942,   4.852698,  -5.047834,  -0.245784,   0.520956,  -0.817432,   6.000000,   0.500000 
  8.555214,   0.576869,   2.744634,  -0.602343,   0.769045,  -0.213899,   6.000000,   0.500000 
 -9.533721, -12.461055,  14.505768,   0.346258,  -0.105748,  -0.932160,   6.000000,   0.500000 
 11.665991,   5.487701,   9.369537,  -0.119861,   0.485689,  -0.865875,   6.000000,   0.500000 
 -1.017869,   3.549417,   7.733440,  -0.036810,  -0.617099,  -0.786024,   6.000000,   0.500000 
  6.158712,   1.152732,  -0.273652,  -0.132194,   0.984176,   0.117991,   6.000000,   0.500000 
-10.984210,   2.160217,  -1.143963,   0.624533,   0.464291,   0.628007,   6.000000,   0.500000 
 11.028278,  -1.804876,  -6.988029,  -0.045832,   0.978511,  -0.201036,   6.000000,   0.500000 
 -8.566121,   7.130067,   7.813192,  -0.397171,  -0.391360,  -0.830116,   6.000000,   0.500000 
  6.586827,  -8.436593, -12.673113,  -0.186246,  -0.979096,  -0.081758,   6.000000,   0.500000 
 13.661177, -11.471988,  11.100753,   0.236699,   0.330142,  -0.913772,   6.000000,   0.500000 
  7.513703,   2.298010,   9.775599,   0.214492,   0.819506,  -0.531417,   6.000000,   0.500000 
 -6.595194,  -9.064973,   7.916666,   0.039335,  -0.265463,   0.963318,   6.000000,   0.500000 
  5.835632,  -4.314500,   8.358530,   0.369335,   0.907390,  -0.200588,   6.000000,   0.500000 
  5.309142,  -0.246753,   0.360485,  -0.203546,   0.948446,   0.242939,   6.000000,   0.500000 
  8.458058,   5.253047,  11.538905,  -0.171438,   0.774000,  -0.609535,   6.000000,   0.500000 
 14.606010,  10.941889,   4.438687,  -0.404526,   0.090915,  -0.909996,   6.000000,   0.500000 
 -3.652103,  -6.740602,   6.055693,   0.085145,  -0.346483,   0.934184,   6.000000,   0.500000 
-11.525204,   6.060096,   5.947621,  -0.398542,  -0.381947,  -0.833835,   6.000000,   0.500000 
 13.164935,   1.748288,   3.019495,   0.240999,   0.208528,   0.947859,   6.000000,   0.500000 
 14.545819,  13.165689,  -0.297782,  -0.156295,  -0.260355,  -0.952779,   6.000000,   0.500000 
  9.613404,   4.886550,  12.643906,   0.257682,  -0.759846,   0.596854,   6.000000,   0.500000 
 -2.415666,   9.573304,  -3.015450,   0.217750,  -0.811410,  -0.542402,   6.000000,   0.500000 
 -1.198485,  14.617301,  -8.392645,  -0.055497,   0.949718,   0.308149,   6.000000,   0.500000 
  5.529824, -13.548964,   3.960514,   0.063126,   0.121339,  -0.990602,   6.000000,   0.500000 
 -4.101105,   4.799063, -13.726718,  -0.154244,   0.618897,   0.770179,   6.000000,   0.500000 
 -1.271724,  -5.100765,   0.790617,   0.071926,  -0.029769,   0.996966,   6.000000,   0.500000 
 -2.723652,  -9.557381,   2.375048,   0.240305,   0.590866,  -0.770150,   6.000000,   0.500000 
  9.165925, -12.806007, -12.132288,   0.577965,   0.815380,  -0.033334,   6.000000,   0.500000 
  2.216788,  13.833461, -13.164321,   0.042243,   0.965880,   0.255521,   6.000000,   0.500000 
  5.223580,  -3.430434, -11.017531,  -0.006777,   0.984540,   0.175028,   6.000000,   0.500000 
 -7.905387,   7.789783,   7.533279,  -0.394599,  -0.368459,  -0.841742,   6.000000,   0.500000 
 -7.139531,  -1.747089,  13.505665,   0.713745,   0.404136,   0.572052,   6.000000,   0.500000 
-13.327101,  11.574343,   5.356251,  -0.360859,  -0.174092,  -0.916227,   6.000000,   0.500000 
 -0.776144,   9.427240,  -2.001685,  -0.003035,   0.871287,   0.490765,   6.000000,   0.500000 
 -9.140299,   6.183235,  11.458919,   0.315466,   0.522635,   0.792044,   6.000000,   0.500000 
 10.641570,   4.565824,   0.793318,   0.185536,  -0.473107,   0.861247,   6.000000,   0.500000 
  2.297663,   3.959278,  -7.071278,   0.160312,  -0.866020,  -0.473614,   6.000000,   0.500000 
-12.386511,  -7.282213, -12.525040,  -0.126913,  -0.808226,   0.575034,   6.000000,   0.500000 
  9.396601,  -3.878393,   8.801414,  -0.277894,  -0.852567,   0.442610,   6.000000,   0.500000 
 -6.227656,   9.641367,  -7.229743,  -0.236117,   0.713643,   0.659517,   6.000000,   0.500000 
 -6.817452,   5.445335, -13.431945,   0.162244,   0.611265,   0.774617,   6.000000,   0.500000 
-13.104854, -11.544283,  -5.563466,   0.228570,   0.971153,   0.067950,   6.000000,   0.500000 
 13.772280, -13.953086,  -0.244149,   0.141436,  -0.528668,  -0.836962,   6.000000,   0.500000 
 14.236843,  -3.658470,  10.722702,   0.890122,   0.346272,   0.296274,   6.000000,   0.500000 
 -5.985368,  14.593240,   5.722836,   0.384646,  -0.266714,  -0.883691,   6.000000,   0.500000 
  6.901401, -10.054381, -14.487285,  -0.526214,  -0.779922,  -0.338852,   6.000000,   0.500000 
  0.491924, -14.079441,  14.455359,   0.467228,   0.883154,   0.041682,   6.000000,   0.500000 
 -6.291705,   4.259838,  -0.616257,   0.572641,   0.407443,   0.711387,   6.000000,   0.500000 
  4.448516,  12.622735,   5.260366,  -0.087010,   0.416061,  -0.905164,   6.000000,   0.500000 
 -8.027643,  -0.699868,  12.796335,   0.674271,   0.488137,   0.554149,   6.000000,   0.500000 
 10.765659,  14.978254,   3.430721,   0.061209,   0.003848,   0.998118,   6.000000,   0.500000 
  2.293546,  -2.010657,  -5.105203,   0.253944,  -0.718530,  -0.647478,   6.000000,   0.500000 
  7.208967,  10.114688,  -4.848702,  -0.248803,  -0.532102,  -0.809299,   6.000000,   0.500000 
-13.962223,  -5.933560,   6.559247,   0.590206,  -0.093094,   0.801867,   6.000000,   0.500000 
 10.542087,   6.087452,   7.628745,   0.127237,  -0.473020,   0.871816,   6.000000,   0.500000 
  7.659271, -10.515059,   8.425514,   0.097138,  -0.531997,  -0.841156,   6.000000,   0.500000 
  7.336726,   3.044425, -14.268452,  -0.074517,   0.935134,  -0.346370,   6.000000,   0.500000 
-14.244965,  -7.411987,  -2.069237,   0.280020,   0.900243,   0.333393,   6.000000,   0.500000 
 -2.139073, -14.283640, -13.324892,   0.128574,  -0.115987,  -0.984894,   6.000000,   0.500000 
  9.265134,  -7.189384,  -2.069990,  -0.276467,  -0.944392,   0.178015,   6.000000,   0.500000 
  6.908667,  -5.295116,  -3.679432,  -0.368796,  -0.751575,   0.546923,   6.000000,   0.500000 
 -8.656204,  -3.729158,   3.000683,   0.526638,   0.108838,   0.843094,   6.000000,   0.500000 
 -9.329764,   0.421317,   1.293954,   0.555991,   0.649036,   0.519256,   6.000000,   0.500000 
 10.911479,   8.297615, -14.365392,  -0.193391,   0.472393,  -0.859910,   6.000000,   0.500000 
  2.723488,   9.634672, -13.403955,  -0.060009,  -0.983225,  -0.172241,   6.000000,   0.500000 
  6.178355,  12.354823,  11.905403,  -0.178551,   0.374437,  -0.909899,   6.000000,   0.500000 
-10.764194,   8.498293,  -7.480576,   0.595300,  -0.533605,   0.600736,   6.000000,   0.500000 
  0.069372,   8.957444,  11.876651,  -0.059382,   0.744618,   0.664845,   6.000000,   0.500000 
-12.229583,  -7.743384,  -3.739659,   0.075936,  -0.996204,  -0.042554,   6.000000,   0.500000 
 -7.989536,  -4.938772, -13.205156,  -0.682813,  -0.139719,  -0.717109,   6.000000,   0.500000 
-10.790972,   9.888146,  11.419931,   0.552069,  -0.011224,   0.833723,   6.000000,   0.500000 
  2.806597,  -5.059049,   3.157083,  -0.200271,  -0.170996,   0.964703,   6.000000,   0.500000 
 -6.128152,  13.403436,  11.822483,   0.226194,  -0.469860,  -0.853269,   6.000000,   0.500000 
  7.259529, -13.487900,   1.653835,   0.002006,   0.149033,   0.988830,   6.000000,   0.500000 
 13.896297,  -1.432579,   8.513373,   0.768355,   0.318692,   0.555036,   6.000000,   0.500000 
 -8.426313,  10.467424,  -0.654242,  -0.085679,   0.579501,   0.810455,   6.000000,   0.500000 
 -6.706971,  -1.131443,  -9.466263,  -0.531623,  -0.392287,  -0.750658,   6.000000,   0.500000 
  2.332549,   7.125186,   2.937754,  -0.093485,   0.665715,   0.740327,   6.000000,   0.500000 
  2.518147,  -5.599653,  10.391777,  -0.398607,  -0.542674,   0.739336,   6.000000,   0.500000 
 -7.850238, -14.684136,   7.613192,  -0.338884,   0.189821,   0.921480,   6.000000,   0.500000 
-13.080410, -14.647710,   0.317062,   0.391085,  -0.780572,  -0.487606,   6.000000,   0.500000 
 -1.227194,  -7.001392, -11.383470,   0.286145,  -0.660460,   0.694199,   6.000000,   0.500000 
-13.642492,  -0.224840,  -6.988903,   0.305506,  -0.717733,   0.625720,   6.000000,   0.500000 
  6.015996,   8.443056, -11.644252,   0.097483,   0.992064,  -0.079404,   6.000000,   0.500000 
  5.105522,   6.241930,  12.654799,  -0.093183,  -0.956474,   0.276541,   6.000000,   0.500000 
  2.748385,   7.953603,   1.230512,  -0.074680,   0.664973,   0.743124,   6.000000,   0.500000 
-14.299504,   0.391185,  14.050192,   0.571187,   0.223306,   0.789860,   6.000000,   0.500000 
 -2.142154,  -1.733582,  -4.156855,  -0.315666,  -0.468886,  -0.824925,   6.000000,   0.500000 
  8.785701,   7.163457,   8.987908,  -0.171172,   0.662345,  -0.729382,   6.000000,   0.500000 
 -4.775404, -11.326617,  -6.921814,   0.208923,  -0.479035,  -0.852570,   6.000000,   0.500000 
  5.526496,   5.181189,  14.356478,  -0.037199,  -0.914837,   0.402107,   6.000000,   0.500000 
 -0.705130,  -8.319249,   3.863417,   0.209567,   0.557576,  -0.803237,   6.000000,   0.500000 
 14.089757,  -6.853108,  -7.450114,  -0.018543,  -0.999110,   0.037893,   6.000000,   0.500000 
  3.112000,  10.442452,  -7.896090,  -0.072203,   0.980492,   0.182818,   6.000000,   0.500000 
 -6.562025,  -1.279274,   9.548248,   0.570045,   0.314571,   0.759009,   6.000000,   0.500000 
 -0.692660, -14.221210,   0.667767,   0.046159,   0.978057,   0.203158,   6.000000,   0.500000 
  8.712429,   6.868812,  -3.077405,  -0.221107,   0.457444,  -0.861311,   6.000000,   0.500000 
 11.132030,  12.250151,  -0.949508,  -0.240418,  -0.063220,  -0.968608,   6.000000,   0.500000 
-10.461254, -14.836407,  -1.576730,   0.465824,  -0.748052,  -0.472679,   6.000000,   0.500000 
  6.889191,  -3.872306,  -4.111080,  -0.369085,  -0.732247,   0.572356,   6.000000,   0.500000 
  5.741346, -14.404070,  12.827238,   0.456252,   0.623850,   0.634543,   6.000000,   0.500000 
 10.587221,  12.467399,   3.461373,   0.241812,  -0.090591,   0.966085,   6.000000,   0.500000 
  1.266829,   9.479161,  14.282013,  -0.191844,  -0.906908,  -0.375117,   6.000000,   0.500000 
 -5.979032,  -5.841295,  -5.498322,  -0.509566,  -0.224520,  -0.830622,   6.000000,   0.500000 
 14.652063,   1.220035,   2.499216,  -0.278898,  -0.675171,  -0.682906,   6.000000,   0.500000 
  7.598822,   7.950586, -12.578058,  -0.082485,   0.954140,  -0.287774,   6.000000,   0.500000 
  5.717605,  -3.891637,  -5.570709,   0.531897,   0.352929,  -0.769758,   6.000000,   0.500000 
  3.273228, -10.525340,  -4.267279,  -0.585219,  -0.740689,   0.329998,   6.000000,   0.500000 
 -5.999561,   4.403301,  -3.947866,   0.360935,   0.585966,   0.725514,   6.000000,   0.500000 
 10.658500,   6.358863,   9.146299,   0.223576,  -0.460934,   0.858809,   6.000000,   0.500000 
  0.255684,   9.318236,  -8.546770,  -0.156977,   0.967943,   0.196071,   6.000000,   0.500000 
  6.637777,   8.582481, -11.131064,  -0.138470,  -0.982454,   0.124941,   6.000000,   0.500000 
  2.996470,  -1.824257,   7.570142,   0.348242,  -0.104365,  -0.931577,   6.000000,   0.500000 
  5.929826,   7.020755,   9.866898,   0.026664,  -0.794991,   0.606035,   6.000000,   0.500000 
  5.257807,  -8.816185,  11.415330,   0.596871,   0.800166,   0.058982,   6.000000,   0.500000 
 -2.678654,   3.630330,   5.811093,  -0.017979,  -0.366405,  -0.930282,   6.000000,   0.500000 
 12.533612,  -5.140040,  -1.064658,  -0.372097,  -0.826108,  -0.423190,   6.000000,   0.500000 
 12.542477,   7.645416,  11.848174,   0.299902,  -0.351466,   0.886865,   6.000000,   0.500000 
 -0.236452,   7.275261,  13.250793,   0.071523,   0.823603,   0.562639,   6.000000,   0.500000 
 14.523436,  -6.176165,  12.244178,   0.826564,   0.556912,   0.081491,   6.000000,   0.500000 
 -3.416117,  11.503497,  -7.922373,  -0.307523,   0.886922,   0.344672,   6.000000,   0.500000 
  9.135562,  -0.575385,  -9.300161,   0.140022,   0.755301,  -0.640246,   6.000000,   0.500000 
 -3.372023, -13.101151,   2.669473,  -0.420893,  -0.151988,   0.894287,   6.000000,   0.500000 
 -1.808320,   4.496828,  -3.032620,  -0.118857,  -0.762179,  -0.636362,   6.000000,   0.500000 
 -9.046158,   0.301338,  12.715272,   0.736491,   0.356661,   0.574782,   6.000000,   0.500000 
 -7.236409,  -1.647159,   7.355499,  -0.608204,  -0.251902,  -0.752750,   6.000000,   0.500000 
  0.108676,  -8.806722,  14.006665,  -0.158582,  -0.611593,   0.775116,   6.000000,   0.500000 
  2.121552, -12.416053,   5.300327,  -0.527920,  -0.725498,   0.441535,   6.000000,   0.500000 
 11.870281,   8.831450, -14.434733,   0.207941,  -0.351865,   0.912662,   6.000000,   0.500000 
  3.199879,  14.693211,  12.453391,  -0.382721,  -0.798686,  -0.464354,   6.000000,   0.500000 
-11.080866, -14.502644, -11.788802,  -0.648065,   0.071651,   0.758207,   6.000000,   0.500000 
  6.759634, -14.991687,  -6.471768,  -0.241511,  -0.953728,  -0.179096,   6.000000,   0.500000 
 -7.038572,  -9.784054,   4.644785,  -0.361892,  -0.100510,   0.926786,   6.000000,   0.500000 
 13.182841,   2.893112,   0.741789,  -0.372354,  -0.100602,  -0.922622,   6.000000,   0.500000 
  5.487071, -11.579875,   2.505022,  -0.424374,  -0.758911,   0.493924,   6.000000,   0.500000 
 -9.549165,   6.492100,  -2.625909,   0.279066,   0.389466,   0.877746,   6.000000,   0.500000 
  0.984679,   0.992882,   4.486499,  -0.039700,   0.723659,   0.689015,   6.000000,   0.500000 
-11.881825,  -7.448318, -14.469944,   0.066530,   0.609881,  -0.789696,   6.000000,   0.500000 
 -6.150284,   0.413529,  -3.326107,  -0.666572,   0.158939,  -0.728299,   6.000000,   0.500000 
-11.087713,   1.982604,   7.029211,  -0.400277,  -0.548310,  -0.734258,   6.000000,   0.500000 
 11.906527,   6.244120,  -2.009349,   0.105253,  -0.279349,   0.954403,   6.000000,   0.500000 
 14.478378,   4.333194,  -8.081725,   0.258078,  -0.681950,   0.684353,   6.000000,   0.500000 
 -1.694236,   1.437085,   9.598253,   0.140503,  -0.592024,  -0.793578,   6.000000,   0.500000 
  5.391574,   2.731573,   1.669062,   0.387575,  -0.919876,  -0.060109,   6.000000,   0.500000 
 -0.409911,  -7.247437,  14.255951,  -0.029858,   0.561713,  -0.826793,   6.000000,   0.500000 
 14.695298,   4.426114,   8.718150,   0.357828,   0.078030,   0.930522,   6.000000,   0.500000 
-12.849456,  12.065664,   9.790897,   0.691003,  -0.068351,   0.719613,   6.000000,   0.500000 
-12.637946,   6.450073,  14.220983,   0.364240,   0.024340,   0.930987,   6.000000,   0.500000 
  4.710968,  -0.519186,   7.499195,  -0.390511,  -0.485183,   0.782367,   6.000000,   0.500000 
  9.642979, -13.673088, -12.397318,   0.543175,   0.785906,  -0.295486,   6.000000,   0.500000 
 13.957067,   6.286501,   7.288959,   0.274159,  -0.037193,   0.960965,   6.000000,   0.500000 
 -5.401535,  -2.261785,  -8.832510,  -0.466055,  -0.334006,  -0.819288,   6.000000,   0.500000 
  4.109307,  13.859086,  14.383053,   0.395955,   0.885248,   0.244040,   6.000000,   0.500000 
 -5.605215,   0.402953,   8.812694,   0.581459,   0.410006,   0.702709,   6.000000,   0.500000 
  8.114853, -12.812544,   8.127026,  -0.119005,  -0.215960,  -0.969123,   6.000000,   0.500000 
  6.980644,  11.945287,  -2.239159,   0.045575,   0.337783,   0.940120,   6.000000,   0.500000 
-11.666732,  14.174162,  11.976149,   0.744598,  -0.107606,  -0.658783,   6.000000,   0.500000 
  4.781917,   1.675633,   9.803162,   0.294944,   0.731848,  -0.614334,   6.000000,   0.500000 
  0.575703,  -8.989539, -13.894985,  -0.206975,  -0.862051,   0.462633,   6.000000,   0.500000 
 -2.697553,   7.007566,   2.508926,   0.336551,   0.575118,   0.745636,   6.000000,   0.500000 
 -9.081821, -11.600883,  13.499618,   0.163063,  -0.143612,  -0.976108,   6.000000,   0.500000 
  3.761778, -10.881890,  -1.512196,  -0.460577,  -0.877231,   0.135408,   6.000000,   0.500000 
  9.656981,  -2.145628,  -7.153654,   0.175003,   0.927155,  -0.331296,   6.000000,   0.500000 
-12.011352, -13.279337,   1.581569,   0.467710,  -0.761039,  -0.449519,   6.000000,   0.500000 
 11.492004,  10.201770,  -0.801497,   0.338751,  -0.092916,   0.936277,   6.000000,   0.500000 
  6.671769,   9.496912,   4.512284,   0.127621,  -0.709153,   0.693409,   6.000000,   0.500000 
  4.829014,  -4.413590,  12.386605,   0.420183,   0.798026,  -0.431973,   6.000000,   0.500000 
 -7.432695,  12.817391,   3.927755,   0.190091,  -0.509678,  -0.839103,   6.000000,   0.500000 
  7.479528,  13.059670,   3.556144,  -0.067758,   0.268291,  -0.960952,   6.000000,   0.500000 
 10.213364, -13.676085, -14.319704,  -0.610252,  -0.733861,   0.298396,   6.000000,   0.500000 
 -8.066063,   7.384523,  10.261579,  -0.287519,  -0.550187,  -0.783981,   6.000000,   0.500000 
  1.424121,  -5.814401, -12.888217,  -0.122888,  -0.988448,   0.088705,   6.000000,   0.500000 
-13.989533,  -7.098627,   8.694626,   0.611458,  -0.233323,   0.756095,   6.000000,   0.500000 
  3.973524,  12.530500,  -6.912953,  -0.094675,  -0.986798,  -0.131402,   6.000000,   0.500000 
 -2.520941,   5.175956,  -6.445048,   0.042870,  -0.869987,  -0.491207,   6.000000,   0.500000 
 10.480848, -14.472112,  -8.219911,  -0.246152,  -0.929412,  -0.274958,   6.000000,   0.500000 
 -6.850259,  -3.545216,   1.087739,  -0.222352,   0.432425,  -0.873824,   6.000000,   0.500000 
  0.041621,   0.727831,  -5.091430,   0.022633,  -0.861170,  -0.507813,   6.000000,   0.500000 
 -7.693470, -13.402060,  14.568353,   0.414513,  -0.206542,  -0.886295,   6.000000,   0.500000 
 13.382276,  -6.448717,  -2.246816,   0.242479,   0.849963,   0.467725,   6.000000,   0.500000 
 -2.975495, -12.903645,   5.835018,  -0.264721,  -0.699605,   0.663683,   6.000000,   0.500000 
  9.270095,  -1.687712,   7.235205,   0.243680,   0.891777,  -0.381252,   6.000000,   0.500000 
  1.588755,  13.272676, -12.707958,   0.018244,  -0.985292,  -0.169904,   6.000000,   0.500000 
 -7.084219,  -1.211618,  12.852829,   0.665729,   0.443982,   0.599738,   6.000000,   0.500000 
 -3.522742,  12.116022, -10.289818,  -0.444182,   0.707350,   0.549871,   6.000000,   0.500000 
 -4.262862,   5.711339,  -7.135861,  -0.014934,  -0.839824,  -0.542653,   6.000000,   0.500000 
  1.450500, -11.534612,   5.752025,   0.424567,   0.449201,  -0.786105,   6.000000,   0.500000 
 -1.364071,   4.731331,  -3.898753,   0.043698,   0.799388,   0.599224,   6.000000,   0.500000 
  5.325536,  -1.588826, -13.194915,   0.124277,   0.972242,  -0.198243,   6.000000,   0.500000 
 14.571898,  -7.994893, -11.084614,  -0.471403,  -0.878122,   0.081738,   6.000000,   0.500000 
  3.913420,  -0.799822, -11.726358,   0.096985,   0.991161,  -0.090515,   6.000000,   0.500000 
  6.228039,  -8.601080, -13.640376,  -0.399440,  -0.909784,  -0.112878,   6.000000,   0.500000 
 -7.966939,   0.735572,  -9.850901,   0.642526,   0.356893,   0.678077,   6.000000,   0.500000 
 -6.812693,  11.371627,  12.095434,  -0.166799,  -0.357895,  -0.918743,   6.000000,   0.500000 
  0.801503,  11.742132,   0.509354,  -0.026795,  -0.955851,  -0.292626,   6.000000,   0.500000 
 -0.581198,  -6.855150,   7.256554,   0.100173,  -0.290853,   0.951509,   6.000000,   0.500000 
-12.174498,   4.014856, -11.964742,   0.513915,  -0.187246,   0.837156,   6.000000,   0.500000 
  9.221990,   7.090043,   2.199966,   0.170055,  -0.468297,   0.867052,   6.000000,   0.500000 
 -3.227748,  -0.485479,  -7.621167,   0.275813,   0.628430,   0.727326,   6.000000,   0.500000 
 13.191539,  14.806746,   2.681290,   0.103631,   0.175710,   0.978972,   6.000000,   0.500000 
-13.236072, -13.020909,  10.959165,   0.139212,  -0.026254,  -0.989915,   6.000000,   0.500000 
 -9.269717,  14.115686,  -5.682421,   0.356850,  -0.872627,  -0.333438,   6.000000,   0.500000 
 -5.658684,   5.188765, -14.885267,   0.089964,  -0.628077,  -0.772933,   6.000000,   0.500000 
  7.277073,  -5.101665,  -2.774697,   0.214277,   0.875611,  -0.432887,   6.000000,   0.500000 
  4.060511,   0.532934, -13.577664,  -0.130798,  -0.986762,   0.095874,   6.000000,   0.500000 
  9.683447,  -9.278050, -11.504850,  -0.347302,  -0.934206,  -0.081491,   6.000000,   0.500000 
 -8.549612,  -6.374589,   3.336972,  -0.349241,   0.306581,  -0.885460,   6.000000,   0.500000 
  7.294051,   3.379393,  10.946432,   0.015984,  -0.802856,   0.595958,   6.000000,   0.500000 
-11.555957,  10.153161,  12.258497,   0.496350,   0.083592,   0.864089,   6.000000,   0.500000 
-12.883330, -14.159249,  -0.358809,   0.435118,  -0.770694,  -0.465513,   6.000000,   0.500000 
  5.896198,  -9.969737, -12.022326,  -0.045697,  -0.997871,  -0.046523,   6.000000,   0.500000 
  9.250447, -12.535487,  13.271526,  -0.605642,  -0.757550,  -0.243548,   6.000000,   0.500000 
 -6.424683,  -8.478218,  -8.409971,  -0.061987,  -0.513117,  -0.856077,   6.000000,   0.500000 
 14.913823,  -8.596066,  14.762616,  -0.619404,  -0.700448,   0.354558,   6.000000,   0.500000 
 -9.174607,   3.219664,   5.688967,  -0.355248,  -0.635930,  -0.685121,   6.000000,   0.500000 
  8.833618,   4.749481,  14.267487,   0.261401,  -0.789357,   0.555505,   6.000000,   0.500000 
  0.720884,  -5.069058,  -8.326878,  -0.140224,   0.950116,   0.278597,   6.000000,   0.500000 
 -9.642845,   9.506556, -12.158672,   0.267574,   0.134792,   0.954062,   6.000000,   0.500000 
 -3.780705,  10.998512,   6.554756,   0.186351,   0.949974,  -0.250645,   6.000000,   0.500000 
  1.718297, -10.023833,  14.759460,   0.376783,   0.843029,  -0.383846,   6.000000,   0.500000 
  0.884820,  -5.316468, -13.574881,   0.146032,   0.983144,  -0.110010,   6.000000,   0.500000 
